iter	Passed	Remaining
0	2	199
1	3	189
2	5	179
3	6	167
4	9	171
5	11	184
6	13	181
7	15	180
8	17	177
9	19	174
10	21	171
11	23	169
12	25	168
13	27	168
14	29	165
15	30	162
16	32	160
17	34	157
18	36	154
19	38	152
20	40	152
21	42	150
22	44	148
23	46	145
24	47	143
25	49	141
26	51	140
27	54	140
28	56	139
29	58	137
30	60	135
31	62	133
32	64	130
33	66	128
34	68	126
35	71	127
36	73	124
37	75	123
38	77	120
39	79	118
40	81	116
41	81	112
42	83	110
43	86	109
44	87	107
45	89	105
46	91	103
47	93	100
48	95	99
49	96	96
50	99	95
51	101	93
52	103	91
53	105	90
54	107	87
55	108	85
56	110	83
57	112	81
58	115	79
59	116	77
60	118	75
61	120	73
62	122	71
63	124	69
64	130	70
65	133	68
66	134	66
67	136	64
68	138	62
69	139	59
70	141	57
71	144	56
72	146	54
73	148	52
74	149	49
75	151	47
76	153	45
77	155	43
78	156	41
79	158	39
80	160	37
81	162	35
82	164	33
83	165	31
84	167	29
85	169	27
86	171	25
87	174	23
88	176	21
89	178	19
90	180	17
91	182	15
92	184	13
93	186	11
94	188	9
95	190	7
96	191	5
97	193	3
98	195	1
99	197	0
